state,district_type,education_level,infrastructure_score,toilet_access,drinking_water_source,electricity_access,employment_type,health_index,poverty_status,housing_type,cooking_fuel_type,phone_access,transport_mode,internet_access
Chhattisgarh,Rural,Secondary,65.9,Private,Private tap,0,Private job,0.11,1,Semi-Pucca,LPG,Basic Phone,Private Vehicle,1
Uttar Pradesh,Rural,Graduate,63.5,Shared,Well,1,Govt job,0.08,1,Pucca,LPG,None,Public Transport,1
Tamil Nadu,Rural,Graduate,29.8,Shared,Unprotected,1,Informal,0.18,1,Pucca,Firewood,None,Public Transport,0
Madhya Pradesh,Rural,Primary,78.9,Private,Public tap,1,Informal,0.04,1,Kutcha,LPG,Smartphone,Public Transport,1
Kerala,Rural,No School,26.7,Private,Private tap,1,Self-employed,0.23,1,Pucca,LPG,Basic Phone,Public Transport,1
Uttar Pradesh,Rural,Primary,71.8,Shared,Private tap,1,Self-employed,0.3,1,Kutcha,Firewood,Smartphone,Public Transport,1
Gujarat,Rural,Secondary,39.0,Shared,Public tap,1,Self-employed,0.36,1,Pucca,Firewood,Smartphone,Cycle,1
Bihar,Rural,Secondary,53.3,Private,Unprotected,1,Govt job,0.43,0,Semi-Pucca,Firewood,Basic Phone,Public Transport,0
Tamil Nadu,Rural,Secondary,54.5,No,Private tap,1,Self-employed,0.15,1,Semi-Pucca,Firewood,None,Private Vehicle,0
Chhattisgarh,Rural,Primary,54.0,Private,Unprotected,1,Unemployed,0.18,1,Semi-Pucca,Firewood,Basic Phone,Public Transport,0
Gujarat,Rural,Secondary,63.5,Private,Public tap,1,Informal,0.52,0,Pucca,Firewood,None,Private Vehicle,0
Maharashtra,Rural,Postgraduate,57.8,Shared,Well,1,Private job,0.57,0,Kutcha,LPG,Smartphone,Public Transport,1
Rajasthan,Rural,Secondary,65.7,No,Public tap,1,Self-employed,0.16,1,Semi-Pucca,Biogas,None,Public Transport,1
Jharkhand,Urban,Primary,59.3,No,Unprotected,0,Informal,0.04,1,Semi-Pucca,Kerosene,Smartphone,Private Vehicle,1
Gujarat,Rural,Secondary,24.7,Private,Private tap,1,Private job,0.39,1,Pucca,LPG,Basic Phone,Public Transport,0
Madhya Pradesh,Rural,Secondary,55.4,Shared,Unprotected,1,Informal,0.13,1,Kutcha,Firewood,Basic Phone,Cycle,0
Madhya Pradesh,Rural,Graduate,38.7,Shared,Unprotected,1,Informal,0.33,1,Semi-Pucca,Firewood,Basic Phone,Public Transport,1
Rajasthan,Urban,Secondary,27.8,Shared,Well,0,Informal,0.28,1,Semi-Pucca,Firewood,Smartphone,Cycle,1
Uttar Pradesh,Urban,Secondary,44.2,No,Private tap,1,Private job,0.15,1,Semi-Pucca,LPG,Smartphone,Walk,0
Kerala,Rural,Secondary,53.7,Private,Well,0,Govt job,0.18,1,Kutcha,Biogas,Basic Phone,Cycle,1
Rajasthan,Rural,Secondary,55.0,Shared,Well,1,Informal,0.4,0,Semi-Pucca,LPG,Smartphone,Walk,0
Kerala,Rural,Graduate,71.1,Private,Public tap,0,Private job,0.36,1,Kutcha,Firewood,Basic Phone,Public Transport,0
Madhya Pradesh,Rural,No School,76.1,Shared,Public tap,1,Private job,0.24,1,Pucca,Kerosene,Smartphone,Public Transport,1
Chhattisgarh,Rural,Secondary,56.7,Shared,Private tap,1,Govt job,0.16,1,Kutcha,Kerosene,None,Public Transport,0
Maharashtra,Rural,Primary,60.3,Private,Well,0,Private job,0.45,1,Pucca,Biogas,Smartphone,Private Vehicle,0
Uttar Pradesh,Rural,Primary,51.9,Private,Well,0,Govt job,0.35,1,Semi-Pucca,LPG,Basic Phone,Walk,0
Maharashtra,Rural,Secondary,65.3,Private,Unprotected,1,Self-employed,0.32,0,Kutcha,LPG,Smartphone,Walk,1
Tamil Nadu,Rural,Primary,59.7,No,Unprotected,0,Informal,0.37,1,Kutcha,LPG,Basic Phone,Private Vehicle,1
Madhya Pradesh,Rural,Primary,48.9,Shared,Public tap,1,Informal,0.08,1,Semi-Pucca,LPG,Basic Phone,Public Transport,1
Rajasthan,Rural,Graduate,93.0,Private,Well,1,Unemployed,0.38,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Kerala,Urban,Secondary,39.1,Private,Private tap,0,Govt job,0.52,1,Semi-Pucca,LPG,Basic Phone,Public Transport,0
Kerala,Urban,No School,79.1,Private,Well,0,Unemployed,0.22,1,Kutcha,LPG,None,Cycle,0
Madhya Pradesh,Rural,Secondary,22.9,Private,Public tap,1,Informal,0.23,1,Semi-Pucca,Firewood,Smartphone,Public Transport,0
Madhya Pradesh,Rural,Primary,66.3,No,Private tap,1,Informal,0.07,1,Semi-Pucca,Biogas,Basic Phone,Public Transport,1
Chhattisgarh,Rural,Primary,78.7,Private,Well,1,Informal,0.43,1,Pucca,LPG,Basic Phone,Cycle,1
Chhattisgarh,Urban,Secondary,11.9,Private,Unprotected,1,Informal,0.22,1,Semi-Pucca,LPG,Smartphone,Private Vehicle,0
West Bengal,Rural,Primary,52.8,No,Well,0,Govt job,0.2,1,Semi-Pucca,LPG,Basic Phone,Walk,0
Rajasthan,Rural,Postgraduate,64.3,Shared,Public tap,1,Private job,0.13,1,Kutcha,LPG,Smartphone,Walk,0
Bihar,Rural,Primary,55.0,Private,Public tap,1,Private job,0.17,1,Pucca,Kerosene,Smartphone,Cycle,1
Rajasthan,Rural,Graduate,57.6,Shared,Well,0,Self-employed,0.28,1,Kutcha,LPG,None,Walk,0
Chhattisgarh,Rural,Graduate,52.7,Private,Public tap,0,Private job,0.4,1,Pucca,Firewood,Basic Phone,Private Vehicle,1
West Bengal,Rural,Postgraduate,28.1,Private,Unprotected,1,Informal,0.06,1,Semi-Pucca,Kerosene,Smartphone,Walk,0
Uttar Pradesh,Rural,Secondary,97.4,Private,Unprotected,1,Self-employed,0.27,1,Kutcha,Firewood,Smartphone,Private Vehicle,1
Madhya Pradesh,Urban,Graduate,39.9,Private,Unprotected,1,Informal,0.46,1,Pucca,Firewood,None,Walk,0
Gujarat,Urban,Postgraduate,58.7,Shared,Well,1,Private job,0.27,1,Pucca,LPG,None,Private Vehicle,1
Jharkhand,Urban,Primary,37.1,Shared,Public tap,0,Unemployed,0.35,1,Pucca,Firewood,Smartphone,Walk,0
Maharashtra,Rural,Secondary,4.5,Private,Unprotected,1,Self-employed,0.31,1,Kutcha,LPG,Basic Phone,Walk,1
Maharashtra,Urban,No School,31.5,Shared,Private tap,0,Govt job,0.34,1,Pucca,Firewood,Smartphone,Public Transport,1
Rajasthan,Urban,Secondary,21.0,No,Public tap,1,Self-employed,0.32,1,Kutcha,LPG,Smartphone,Cycle,1
Rajasthan,Urban,Secondary,71.8,Private,Public tap,1,Unemployed,0.31,1,Semi-Pucca,Firewood,None,Public Transport,1
Odisha,Urban,Primary,37.9,Shared,Private tap,1,Self-employed,0.32,1,Kutcha,LPG,Smartphone,Public Transport,1
Chhattisgarh,Rural,Graduate,39.7,No,Public tap,1,Govt job,0.13,1,Semi-Pucca,LPG,Smartphone,Private Vehicle,0
Jharkhand,Urban,No School,28.7,No,Unprotected,1,Unemployed,0.32,1,Kutcha,Kerosene,Smartphone,Private Vehicle,1
Tamil Nadu,Rural,Graduate,51.9,Private,Public tap,1,Govt job,0.05,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Odisha,Rural,No School,35.7,Shared,Unprotected,0,Private job,0.34,1,Kutcha,Firewood,Basic Phone,Cycle,0
Bihar,Urban,Secondary,69.8,Shared,Unprotected,1,Private job,0.31,0,Semi-Pucca,LPG,Basic Phone,Cycle,0
Rajasthan,Rural,No School,56.0,Private,Unprotected,1,Informal,0.14,1,Kutcha,LPG,Basic Phone,Walk,1
West Bengal,Rural,Primary,38.6,Shared,Well,1,Unemployed,0.04,1,Kutcha,Kerosene,Smartphone,Cycle,1
West Bengal,Rural,Graduate,67.0,No,Public tap,0,Informal,0.25,1,Semi-Pucca,LPG,Basic Phone,Private Vehicle,0
Tamil Nadu,Urban,Primary,50.2,Private,Private tap,1,Self-employed,0.24,1,Semi-Pucca,LPG,None,Cycle,1
Kerala,Rural,Secondary,50.4,No,Well,0,Private job,0.14,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Odisha,Rural,Postgraduate,20.7,No,Well,1,Private job,0.25,1,Semi-Pucca,LPG,None,Private Vehicle,0
Odisha,Urban,No School,48.6,Private,Well,0,Private job,0.38,1,Pucca,LPG,Smartphone,Walk,1
West Bengal,Urban,Graduate,56.4,Shared,Well,1,Self-employed,0.13,1,Kutcha,Firewood,Basic Phone,Public Transport,1
Maharashtra,Rural,No School,76.7,Private,Unprotected,0,Self-employed,0.24,1,Semi-Pucca,Biogas,Smartphone,Public Transport,1
West Bengal,Rural,Primary,35.0,Private,Unprotected,1,Unemployed,0.23,1,Kutcha,Firewood,None,Private Vehicle,0
Madhya Pradesh,Rural,Primary,95.6,Shared,Private tap,1,Informal,0.28,1,Semi-Pucca,LPG,Basic Phone,Walk,0
West Bengal,Rural,Postgraduate,61.1,Private,Public tap,1,Private job,0.53,0,Kutcha,LPG,Basic Phone,Public Transport,0
Chhattisgarh,Urban,Primary,19.6,No,Private tap,1,Self-employed,0.19,1,Semi-Pucca,LPG,Smartphone,Public Transport,0
Gujarat,Rural,Graduate,33.1,Shared,Public tap,0,Informal,0.35,1,Pucca,Firewood,Basic Phone,Public Transport,0
West Bengal,Rural,Postgraduate,78.4,Private,Unprotected,1,Unemployed,0.17,1,Semi-Pucca,Firewood,Basic Phone,Public Transport,1
Gujarat,Rural,Secondary,74.9,Shared,Public tap,1,Informal,0.34,0,Pucca,Firewood,Basic Phone,Public Transport,0
Maharashtra,Rural,Secondary,50.4,Private,Public tap,0,Self-employed,0.37,1,Semi-Pucca,Biogas,None,Public Transport,0
Odisha,Rural,Graduate,53.0,No,Well,1,Private job,0.15,1,Pucca,Firewood,None,Private Vehicle,0
Madhya Pradesh,Rural,Secondary,26.7,Shared,Private tap,1,Unemployed,0.08,1,Pucca,Firewood,Smartphone,Walk,1
Bihar,Rural,Primary,76.4,Private,Well,1,Unemployed,0.13,1,Semi-Pucca,Firewood,Smartphone,Cycle,0
Odisha,Rural,Secondary,30.2,Shared,Well,1,Self-employed,0.16,1,Pucca,LPG,Smartphone,Walk,1
West Bengal,Rural,Graduate,66.9,Private,Well,1,Informal,0.32,0,Semi-Pucca,LPG,None,Walk,0
West Bengal,Rural,Graduate,77.0,Private,Well,0,Unemployed,0.11,1,Pucca,Firewood,None,Private Vehicle,0
West Bengal,Rural,Primary,51.0,Private,Unprotected,1,Unemployed,0.07,1,Kutcha,LPG,None,Public Transport,0
Madhya Pradesh,Rural,Primary,69.4,Shared,Private tap,0,Informal,0.28,1,Pucca,Firewood,Basic Phone,Private Vehicle,1
Rajasthan,Rural,Postgraduate,87.0,Private,Well,1,Self-employed,0.36,0,Pucca,Firewood,Basic Phone,Private Vehicle,0
Madhya Pradesh,Urban,No School,55.4,Private,Private tap,1,Private job,0.15,1,Pucca,LPG,None,Cycle,0
Uttar Pradesh,Rural,Graduate,46.5,Private,Well,1,Self-employed,0.22,1,Kutcha,Firewood,Basic Phone,Public Transport,0
Chhattisgarh,Rural,No School,48.7,Private,Unprotected,1,Self-employed,0.42,1,Kutcha,Firewood,Basic Phone,Cycle,1
Jharkhand,Rural,Graduate,35.1,Private,Well,1,Unemployed,0.32,1,Semi-Pucca,Firewood,Smartphone,Private Vehicle,1
Maharashtra,Rural,Postgraduate,34.7,Private,Public tap,1,Govt job,0.24,1,Pucca,Kerosene,Smartphone,Public Transport,1
Chhattisgarh,Urban,Primary,58.8,Private,Unprotected,1,Self-employed,0.18,1,Pucca,LPG,Smartphone,Walk,1
West Bengal,Rural,No School,46.7,Private,Private tap,1,Informal,0.16,1,Kutcha,LPG,None,Cycle,1
Maharashtra,Urban,Secondary,56.6,Shared,Public tap,1,Self-employed,0.77,0,Semi-Pucca,Firewood,Basic Phone,Public Transport,1
Gujarat,Urban,Primary,20.2,No,Public tap,1,Informal,0.14,1,Semi-Pucca,LPG,None,Cycle,1
Jharkhand,Rural,Secondary,48.1,Private,Unprotected,1,Self-employed,0.34,0,Semi-Pucca,Firewood,Basic Phone,Public Transport,1
Bihar,Rural,Secondary,70.6,Private,Private tap,1,Self-employed,0.12,1,Kutcha,LPG,Basic Phone,Cycle,1
Kerala,Rural,Primary,27.6,Private,Unprotected,1,Self-employed,0.33,1,Kutcha,LPG,Basic Phone,Public Transport,1
Odisha,Rural,Secondary,50.3,Private,Well,1,Private job,0.77,0,Kutcha,Kerosene,Basic Phone,Walk,1
Rajasthan,Urban,Graduate,12.9,Private,Unprotected,1,Private job,0.71,1,Semi-Pucca,Firewood,Basic Phone,Public Transport,0
Kerala,Rural,Secondary,23.9,Shared,Unprotected,0,Govt job,0.56,1,Pucca,Biogas,Smartphone,Cycle,0
Madhya Pradesh,Rural,Primary,66.2,No,Well,1,Private job,0.32,1,Semi-Pucca,Firewood,Basic Phone,Public Transport,1
Uttar Pradesh,Urban,Secondary,43.8,Shared,Well,1,Unemployed,0.2,1,Pucca,Firewood,None,Public Transport,1
Tamil Nadu,Rural,Graduate,86.4,No,Private tap,1,Informal,0.45,1,Pucca,LPG,Smartphone,Walk,1
Chhattisgarh,Rural,Secondary,58.6,Private,Unprotected,0,Unemployed,0.55,1,Semi-Pucca,LPG,Basic Phone,Private Vehicle,0
Kerala,Rural,Primary,60.6,Private,Well,1,Informal,0.35,1,Semi-Pucca,Firewood,None,Walk,1
Uttar Pradesh,Rural,No School,28.5,Shared,Private tap,0,Informal,0.07,1,Semi-Pucca,LPG,Basic Phone,Cycle,1
West Bengal,Rural,Graduate,42.3,No,Private tap,1,Private job,0.31,1,Kutcha,Firewood,Smartphone,Walk,0
Madhya Pradesh,Rural,Graduate,35.3,Shared,Well,1,Self-employed,0.32,1,Pucca,LPG,Basic Phone,Cycle,1
Madhya Pradesh,Rural,Secondary,28.7,Shared,Well,0,Self-employed,0.19,1,Pucca,Kerosene,Basic Phone,Walk,1
Odisha,Urban,No School,63.3,Shared,Private tap,1,Informal,0.66,1,Pucca,LPG,None,Cycle,1
Jharkhand,Rural,Secondary,67.3,Shared,Public tap,1,Self-employed,0.66,0,Kutcha,Firewood,Smartphone,Walk,0
Jharkhand,Urban,Graduate,58.0,Shared,Well,1,Govt job,0.38,0,Kutcha,LPG,Basic Phone,Public Transport,0
Maharashtra,Rural,Secondary,33.4,Private,Public tap,1,Informal,0.65,1,Semi-Pucca,LPG,Smartphone,Walk,1
Kerala,Rural,Primary,56.6,Shared,Private tap,1,Private job,0.06,1,Semi-Pucca,Firewood,Basic Phone,Public Transport,0
Bihar,Rural,Secondary,11.7,Private,Unprotected,1,Informal,0.32,1,Kutcha,LPG,Basic Phone,Cycle,0
Maharashtra,Urban,Graduate,76.5,Private,Public tap,1,Private job,0.61,0,Semi-Pucca,Firewood,Basic Phone,Cycle,1
Jharkhand,Rural,No School,24.0,Shared,Public tap,1,Unemployed,0.74,1,Semi-Pucca,LPG,None,Cycle,0
Jharkhand,Urban,Secondary,27.6,Private,Public tap,1,Self-employed,0.25,1,Pucca,LPG,Basic Phone,Public Transport,1
West Bengal,Rural,Secondary,52.3,Private,Public tap,0,Private job,0.34,1,Pucca,LPG,Basic Phone,Public Transport,0
West Bengal,Rural,Secondary,54.1,No,Public tap,1,Self-employed,0.49,1,Semi-Pucca,LPG,Smartphone,Cycle,1
Uttar Pradesh,Rural,Secondary,48.5,No,Public tap,1,Self-employed,0.48,1,Semi-Pucca,Kerosene,Smartphone,Private Vehicle,0
Madhya Pradesh,Urban,Secondary,27.8,Private,Unprotected,1,Self-employed,0.38,1,Pucca,Firewood,Basic Phone,Public Transport,1
Madhya Pradesh,Rural,Primary,72.7,Shared,Unprotected,1,Informal,0.14,1,Semi-Pucca,LPG,None,Public Transport,0
Madhya Pradesh,Rural,Primary,16.3,Shared,Unprotected,1,Unemployed,0.07,1,Semi-Pucca,Firewood,Smartphone,Walk,1
Uttar Pradesh,Rural,Secondary,20.3,No,Public tap,1,Informal,0.16,1,Semi-Pucca,Firewood,Basic Phone,Public Transport,0
Tamil Nadu,Rural,No School,47.9,No,Private tap,1,Unemployed,0.41,1,Semi-Pucca,Firewood,None,Public Transport,1
West Bengal,Urban,Secondary,24.7,Private,Well,1,Private job,0.08,1,Semi-Pucca,LPG,Smartphone,Walk,1
Uttar Pradesh,Rural,Secondary,74.5,Private,Public tap,1,Private job,0.16,1,Pucca,LPG,Basic Phone,Private Vehicle,0
Madhya Pradesh,Rural,Primary,26.4,Private,Unprotected,1,Informal,0.31,1,Pucca,Firewood,Smartphone,Cycle,0
Kerala,Rural,Secondary,81.1,Shared,Private tap,1,Govt job,0.18,1,Kutcha,Firewood,None,Walk,0
West Bengal,Rural,Secondary,70.7,Private,Private tap,1,Informal,0.11,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Rajasthan,Urban,Primary,74.7,Private,Public tap,1,Unemployed,0.59,1,Kutcha,Firewood,Smartphone,Public Transport,1
Jharkhand,Rural,Secondary,87.7,Private,Unprotected,0,Govt job,0.26,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
West Bengal,Urban,Postgraduate,51.6,No,Well,0,Informal,0.1,1,Kutcha,Firewood,None,Walk,0
West Bengal,Rural,Secondary,29.7,Shared,Well,1,Unemployed,0.64,1,Kutcha,Firewood,Smartphone,Walk,1
Gujarat,Rural,Secondary,47.9,Private,Unprotected,1,Govt job,0.32,0,Pucca,Firewood,Smartphone,Public Transport,1
Madhya Pradesh,Rural,No School,38.7,Shared,Unprotected,0,Private job,0.26,1,Kutcha,Firewood,Smartphone,Walk,0
Maharashtra,Rural,No School,35.8,Private,Private tap,1,Self-employed,0.24,1,Kutcha,Firewood,Basic Phone,Walk,0
Chhattisgarh,Urban,No School,53.0,Private,Public tap,1,Informal,0.37,1,Pucca,Biogas,Basic Phone,Public Transport,0
Tamil Nadu,Urban,Graduate,43.8,No,Public tap,1,Informal,0.17,1,Semi-Pucca,LPG,Basic Phone,Cycle,1
West Bengal,Urban,Secondary,35.0,Private,Public tap,1,Self-employed,0.26,1,Pucca,Firewood,Smartphone,Private Vehicle,1
Uttar Pradesh,Urban,Primary,45.1,No,Well,1,Govt job,0.1,1,Semi-Pucca,Kerosene,Smartphone,Public Transport,0
Bihar,Rural,Graduate,61.0,Private,Well,0,Private job,0.3,1,Pucca,Firewood,Basic Phone,Public Transport,1
Madhya Pradesh,Urban,Primary,69.1,Private,Well,1,Private job,0.25,1,Semi-Pucca,LPG,Basic Phone,Cycle,1
Madhya Pradesh,Rural,Primary,17.9,Private,Public tap,1,Private job,0.1,1,Kutcha,LPG,None,Cycle,1
Chhattisgarh,Rural,Secondary,43.9,Private,Unprotected,0,Self-employed,0.67,1,Semi-Pucca,Kerosene,None,Walk,1
Odisha,Rural,Primary,47.2,Private,Unprotected,1,Informal,0.2,1,Semi-Pucca,Kerosene,Smartphone,Public Transport,1
Bihar,Rural,Secondary,26.3,Private,Public tap,1,Self-employed,0.26,1,Semi-Pucca,Firewood,Smartphone,Public Transport,0
Maharashtra,Rural,Primary,47.6,Private,Public tap,1,Self-employed,0.57,1,Pucca,Kerosene,Smartphone,Public Transport,0
Rajasthan,Urban,Secondary,53.0,No,Unprotected,1,Informal,0.73,1,Kutcha,Firewood,Smartphone,Public Transport,1
Jharkhand,Rural,Graduate,60.4,No,Unprotected,1,Self-employed,0.29,1,Semi-Pucca,LPG,Smartphone,Private Vehicle,0
Odisha,Rural,Graduate,51.5,Private,Well,1,Informal,0.04,1,Pucca,Biogas,Basic Phone,Public Transport,1
Kerala,Rural,Graduate,32.4,No,Private tap,1,Private job,0.3,1,Pucca,LPG,Smartphone,Public Transport,0
West Bengal,Urban,Graduate,90.2,Private,Private tap,1,Informal,0.43,0,Semi-Pucca,LPG,Smartphone,Private Vehicle,1
Kerala,Rural,Secondary,66.6,Shared,Public tap,1,Govt job,0.51,0,Kutcha,Firewood,Basic Phone,Walk,0
Rajasthan,Urban,Secondary,61.1,Shared,Private tap,1,Informal,0.28,1,Pucca,LPG,Basic Phone,Walk,0
Uttar Pradesh,Rural,Secondary,70.1,Shared,Private tap,1,Govt job,0.31,0,Pucca,LPG,None,Public Transport,1
Tamil Nadu,Rural,Graduate,54.9,Private,Private tap,1,Informal,0.15,1,Kutcha,Firewood,None,Cycle,1
Uttar Pradesh,Rural,Secondary,75.7,Private,Well,0,Govt job,0.7,1,Kutcha,LPG,Smartphone,Walk,0
Uttar Pradesh,Rural,Primary,51.1,No,Well,1,Unemployed,0.66,1,Pucca,Firewood,None,Walk,1
Gujarat,Rural,Graduate,50.0,Private,Unprotected,1,Informal,0.21,1,Semi-Pucca,Biogas,Basic Phone,Cycle,1
Uttar Pradesh,Rural,Graduate,62.7,Private,Public tap,1,Unemployed,0.07,1,Kutcha,Firewood,None,Walk,0
Bihar,Urban,Graduate,81.5,Private,Private tap,1,Self-employed,0.21,1,Semi-Pucca,Firewood,Smartphone,Cycle,0
Gujarat,Rural,Primary,80.2,Private,Unprotected,1,Govt job,0.64,1,Semi-Pucca,Firewood,None,Walk,1
Gujarat,Rural,Primary,61.9,Shared,Well,1,Govt job,0.31,1,Pucca,Firewood,None,Public Transport,0
Madhya Pradesh,Urban,Primary,60.3,Private,Private tap,1,Unemployed,0.28,1,Kutcha,LPG,Smartphone,Public Transport,0
West Bengal,Rural,Secondary,63.9,Shared,Public tap,1,Informal,0.16,1,Semi-Pucca,Firewood,Smartphone,Public Transport,1
Jharkhand,Urban,Primary,69.7,No,Private tap,1,Private job,0.54,1,Kutcha,LPG,Basic Phone,Private Vehicle,1
Bihar,Urban,Secondary,76.0,No,Well,1,Self-employed,0.75,1,Kutcha,Biogas,None,Walk,0
Odisha,Rural,Primary,45.3,No,Private tap,1,Unemployed,0.4,1,Kutcha,Biogas,Smartphone,Walk,0
Odisha,Rural,Primary,76.4,Private,Private tap,1,Informal,0.11,1,Pucca,LPG,Smartphone,Private Vehicle,1
Bihar,Urban,Graduate,56.9,No,Private tap,1,Self-employed,0.24,1,Kutcha,Biogas,Smartphone,Walk,1
Rajasthan,Rural,Graduate,63.0,Private,Private tap,1,Unemployed,0.04,1,Semi-Pucca,Firewood,None,Public Transport,1
Kerala,Rural,No School,77.6,Private,Well,1,Self-employed,0.36,1,Semi-Pucca,Biogas,Smartphone,Walk,0
Bihar,Urban,Secondary,64.9,Private,Unprotected,1,Self-employed,0.27,1,Semi-Pucca,Firewood,Basic Phone,Public Transport,1
Bihar,Rural,No School,68.3,Private,Private tap,1,Informal,0.35,1,Pucca,Firewood,None,Private Vehicle,1
Gujarat,Rural,No School,42.2,Private,Public tap,1,Self-employed,0.35,1,Semi-Pucca,Firewood,Smartphone,Public Transport,0
Jharkhand,Urban,Graduate,80.0,No,Private tap,1,Govt job,0.04,1,Kutcha,LPG,Smartphone,Cycle,1
Jharkhand,Rural,Graduate,63.9,Private,Public tap,1,Informal,0.32,0,Kutcha,Firewood,Smartphone,Public Transport,1
Madhya Pradesh,Urban,Graduate,52.5,No,Public tap,1,Informal,0.24,1,Semi-Pucca,Firewood,None,Walk,1
Jharkhand,Rural,Secondary,72.0,Private,Private tap,1,Govt job,0.22,1,Pucca,LPG,Basic Phone,Private Vehicle,1
Madhya Pradesh,Rural,Graduate,100.0,Shared,Private tap,1,Unemployed,0.22,1,Kutcha,Kerosene,Smartphone,Cycle,0
Uttar Pradesh,Urban,Primary,26.6,Private,Public tap,1,Govt job,0.34,1,Kutcha,Firewood,Basic Phone,Private Vehicle,0
Kerala,Rural,Primary,33.9,Shared,Well,1,Private job,0.55,1,Semi-Pucca,LPG,Basic Phone,Public Transport,1
Rajasthan,Rural,Primary,100.0,No,Unprotected,1,Private job,0.44,1,Kutcha,Firewood,Smartphone,Cycle,1
Kerala,Rural,Graduate,58.5,Private,Public tap,0,Informal,0.4,1,Pucca,LPG,Basic Phone,Public Transport,1
Madhya Pradesh,Rural,Primary,53.8,Private,Well,1,Self-employed,0.12,1,Kutcha,LPG,None,Cycle,0
Gujarat,Urban,Primary,47.7,No,Unprotected,1,Private job,0.52,1,Semi-Pucca,Biogas,Smartphone,Public Transport,1
Jharkhand,Rural,Secondary,74.2,Private,Unprotected,1,Informal,0.28,1,Kutcha,LPG,Basic Phone,Public Transport,0
Gujarat,Rural,No School,100.0,No,Unprotected,1,Unemployed,0.26,1,Semi-Pucca,Firewood,Smartphone,Public Transport,0
Gujarat,Rural,No School,36.7,Private,Private tap,1,Informal,0.48,1,Semi-Pucca,Firewood,Smartphone,Cycle,1
Bihar,Rural,Primary,48.1,Private,Private tap,1,Private job,0.1,1,Pucca,Biogas,Smartphone,Private Vehicle,1
West Bengal,Rural,No School,43.0,No,Public tap,1,Self-employed,0.39,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Uttar Pradesh,Rural,Secondary,64.7,Shared,Private tap,1,Self-employed,0.56,0,Kutcha,LPG,None,Walk,0
Chhattisgarh,Rural,Secondary,74.4,Shared,Well,1,Self-employed,0.13,1,Kutcha,LPG,None,Public Transport,1
Odisha,Rural,Primary,82.4,Shared,Unprotected,0,Self-employed,0.13,1,Pucca,LPG,Smartphone,Public Transport,0
Madhya Pradesh,Rural,Primary,65.3,Private,Unprotected,0,Unemployed,0.27,1,Semi-Pucca,Firewood,Smartphone,Private Vehicle,0
Kerala,Urban,Graduate,100.0,Private,Unprotected,1,Self-employed,0.13,1,Kutcha,LPG,None,Walk,1
Jharkhand,Rural,Secondary,38.5,Private,Private tap,1,Self-employed,0.24,1,Kutcha,LPG,Smartphone,Cycle,1
Maharashtra,Rural,Secondary,33.3,No,Private tap,0,Self-employed,0.42,1,Kutcha,Firewood,Basic Phone,Cycle,0
Uttar Pradesh,Rural,Secondary,79.4,Private,Private tap,1,Govt job,0.33,0,Kutcha,Firewood,Basic Phone,Private Vehicle,1
Odisha,Rural,Primary,52.5,Shared,Well,0,Self-employed,0.05,1,Pucca,LPG,Smartphone,Cycle,1
Maharashtra,Urban,Postgraduate,22.5,Private,Private tap,1,Private job,0.47,1,Semi-Pucca,LPG,Basic Phone,Public Transport,1
Chhattisgarh,Rural,Secondary,43.7,No,Private tap,1,Informal,0.29,1,Pucca,Biogas,Basic Phone,Walk,1
Maharashtra,Urban,Primary,55.1,Private,Private tap,1,Self-employed,0.28,1,Semi-Pucca,LPG,Basic Phone,Private Vehicle,1
Bihar,Rural,Secondary,37.1,Shared,Well,1,Govt job,0.11,1,Semi-Pucca,LPG,None,Walk,1
Bihar,Rural,Primary,29.7,Private,Private tap,1,Govt job,0.6,1,Kutcha,LPG,Basic Phone,Private Vehicle,0
Madhya Pradesh,Rural,Primary,45.8,Shared,Public tap,1,Self-employed,0.55,1,Semi-Pucca,Firewood,None,Public Transport,0
Madhya Pradesh,Rural,Postgraduate,28.7,Private,Private tap,1,Unemployed,0.26,1,Semi-Pucca,LPG,Basic Phone,Public Transport,1
Jharkhand,Rural,Graduate,62.7,Private,Public tap,1,Informal,0.28,1,Kutcha,Firewood,Basic Phone,Public Transport,0
West Bengal,Rural,Primary,11.1,Private,Well,1,Unemployed,0.36,1,Kutcha,LPG,Basic Phone,Public Transport,1
Jharkhand,Rural,Secondary,51.8,Private,Public tap,0,Informal,0.49,1,Semi-Pucca,Biogas,None,Public Transport,1
Rajasthan,Urban,Graduate,60.4,Shared,Well,0,Self-employed,0.32,1,Kutcha,LPG,None,Public Transport,1
Maharashtra,Rural,Primary,48.2,No,Private tap,1,Govt job,0.36,1,Semi-Pucca,Firewood,None,Private Vehicle,1
Uttar Pradesh,Rural,Secondary,71.9,Private,Private tap,1,Self-employed,0.56,0,Semi-Pucca,LPG,None,Public Transport,1
